code,sku,green,purple,assign
A,베르베르 그린 스무디 7팩 + 퍼플 스무디 7팩,441,441,441
B,베르베르 그린 스무디 14팩 + 퍼플 스무디 14팩,1556,1556,778
C,베르베르 그린 스무디 28팩 + 퍼플 스무디 28팩,2232,2232,558
D,베르베르 그린 스무디 7팩,35,0,35
E,베르베르 그린 스무디 14팩,70,0,35
F,베르베르 그린 스무디 21팩,42,0,14
G,베르베르 그린 스무디 28팩,188,0,47
H,베르베르 그린 스무디 56팩,320,0,40
I,베르베르 퍼플 스무디 7팩,0,19,19
J,베르베르 퍼플 스무디 14팩,0,82,41
K,베르베르 퍼플 스무디 21팩,0,42,14
L,베르베르 퍼플 스무디 28팩,0,248,62
M,베르베르 퍼플 스무디 56팩,0,368,46
